Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pIC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,InChI,SMILES,updated,MOL_smiles,unique_id
ACNCCUVYXQGPKZ-PMWDVLQYNA-N,CHEMBL1979093,1956,A,5.7,chembl20,809214,9606,EGFR,1260,"InChI=1/C22H19FN4O3/c1-12-11-15(7-9-17(12)23)26-22(28)25-14-5-3-13(4-6-14)16-8-10-18(29-2)20-19(16)21(24)27-30-20/h3-11H,1-2H3,(H2,24,27)(H2,25,26,28)/f/h25-26H,24H2",FC1=C(C=C(NC(=O)NC=2C=CC(C=3C4=C(ON=C4N)C(OC)=CC3)=CC2)C=C1)C,,COc1ccc(-c2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)c2c(N)noc12,8f1b49b4a4b3beb5fddf7dbeabc57e8895e8ab98
ACNOKHXCQQGNOV-XXEXNYBTNA-N,CHEMBL144632,1956,N,4.46,chembl20,78749,9606,EGFR,1260,"InChI=1/C23H18N6O10/c24-10-14(4-12-6-16(28(36)37)20(32)18(30)8-12)22(34)26-2-1-3-27-23(35)15(11-25)5-13-7-17(29(38)39)21(33)19(31)9-13/h4-9,30-33H,1-3H2,(H,26,34)(H,27,35)/b14-4+,15-5+/f/h26-27H",C=1(N(=O)=O)C(=C(O)C=C(/C=C(/C(=O)NCCCNC(/C(=C/C2=CC(N(=O)=O)=C(C(=C2)O)O)/C#N)=O)\C#N)C1)O,,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,f8bb2d6178c855c4fafbf6dabe6aa6408bab60c5
ACPOUJIDANTYHO-YAQRNVERNA-N,CHEMBL1725279,1956,A,5.7,chembl20,809214,9606,EGFR,1260,"InChI=1/C14H8N2O/c17-14-9-5-2-1-4-8(9)13-12-10(14)6-3-7-11(12)15-16-13/h1-7H,(H,15,16)/f/h15H",O=C1C=2C=3C(=NNC3C=CC2)C4=C1C=CC=C4,,O=C1c2ccccc2-c2n[nH]c3cccc1c23,5d57db983843a2536a19289e263059bb076590b3
ACVULHIFDOOBFE-UYBDAZJANA-N,CHEMBL271540,1956,A,5.31,chembl20,468986,9606,EGFR,1260,"InChI=1/C15H16N6/c1-21(2)10-3-4-14(12(16)7-10)20-15-11-8-17-6-5-13(11)18-9-19-15/h3-9H,16H2,1-2H3,(H,18,19,20)/f/h20H",N1=CC=2C(C=C1)=NC=NC2NC=3C(=CC(=CC3)N(C)C)N,,CN(C)c1ccc(Nc2ncnc3ccncc23)c(N)c1,c54884e70e2035e036b777cccc420f1548c7ad5a
ACZLAVUSXSLQRQ-VEJCKLOMNA-N,68594933,1956,A,6.6925,pubchem,739693,9606,EGFR,1260,"InChI=1/C26H22N4O2/c27-20-13-7-12-19(14-20)22-23-25(30-21(15-31)17-8-3-1-4-9-17)28-16-29-26(23)32-24(22)18-10-5-2-6-11-18/h1-14,16,21,31H,15,27H2,(H,28,29,30)/t21-/m1/s1/f/h30H",O1C(=C(C2=C(N[C@@H](C3=CC=CC=C3)CO)N=CN=C12)C=4C=C(N)C=CC4)C5=CC=CC=C5,,Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,d1eb7649a95195fb80255ce181ef7d5eaf5006cc
ADGFMMGNBWOIFL-MPIMZMORNA-N,CHEMBL590525,1956,A,5.12,chembl20,607157,9606,EGFR,1260,"InChI=1/C22H22N2O3/c1-16-6-5-7-18(21(16)26)15-24(14-17-10-12-20(25)13-11-17)22(27)23-19-8-3-2-4-9-19/h2-13,25-26H,14-15H2,1H3,(H,23,27)/f/h23H",C1(=CC=CC(CN(C(NC2=CC=CC=C2)=O)CC=3C=CC(=CC3)O)=C1O)C,,Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1O,6cd013c63584dcb10dc34257954f5f45deda417e
ADJACMYOQMAGTE-GXEKESMRNA-N,CHEMBL1243345,1956,A,9.1,chembl20,658103,9606,EGFR,1260,"InChI=1/C25H24ClF2N5O2/c1-3-35-23-13-21-18(12-22(23)32-24(34)5-4-9-33(2)10-8-27)25(16(14-29)15-30-21)31-17-6-7-20(28)19(26)11-17/h4-7,11-13,15H,3,8-10H2,1-2H3,(H,30,31)(H,32,34)/b5-4+/f/h31-32H",C(/C=C/CN(C)CCF)(=O)NC=1C=C2C(=C(C=NC2=CC1OCC)C#N)NC=3C=C(C(=CC3)F)Cl,,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCF,01a5f9d61593a375804b9cf50803b900d9e2b585
ADLJQEKLAGCZSU-QQFZGWRZNA-N,CHEMBL3133910,1956,N,4.12,chembl20,1299434,9606,EGFR,1260,"InChI=1/C17H15N5O3S/c1-2-16(23)21-12-5-8-15-14(9-12)17(20-10-19-15)22-11-3-6-13(7-4-11)26(18,24)25/h2-10H,1H2,(H,21,23)(H2,18,24,25)(H,19,20,22)/f/h21-22H,18H2",O=S(=O)(C1=CC=C(NC2=NC=NC=3C2=CC(=CC3)NC(C=C)=O)C=C1)N,,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(S(N)(=O)=O)cc3)c2c1,2401b79f230db2c47840e880df11bdf29c61b48d
ADMFLILDQJSEIK-XBTAAFKLNA-N,CHEMBL1966628,1956,A,5.7,chembl20,809214,9606,EGFR,1260,"InChI=1/C17H20N6/c18-11-3-5-12(6-4-11)22-17-20-9-7-15(23-17)14-10-21-16-13(14)2-1-8-19-16/h1-2,7-12H,3-6,18H2,(H,19,21)(H,20,22,23)/f/h21-22H",N1C=2N=CC=CC2C(C=3N=C(N=CC3)NC4CCC(N)CC4)=C1,,NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,3e98db9fcb962ce9401c296aa711360577480e43
ADTHOQASRLCLRF-DVIAZDKANA-N,CHEMBL324399,1956,N,4.16,chembl20,753968,9606,EGFR,1260,"InChI=1/C20H18N4O3/c1-12(25)23-14-5-4-6-15(7-14)24-20-13(10-21)11-22-17-9-19(27-3)18(26-2)8-16(17)20/h4-9,11H,1-3H3,(H,22,24)(H,23,25)/f/h23-24H",C1=2C(=C(C#N)C=NC1=CC(=C(C2)OC)OC)NC3=CC(NC(=O)C)=CC=C3,,COc1cc2ncc(C#N)c(Nc3cccc(NC(C)=O)c3)c2cc1OC,bb46a9f157b50e72170f311cc5ebd5d3d311e376
ADXSZLCTQCWMTE-UYBDAZJANA-N,2426,1956,A,9.92082,pubchem,69415,9606,EGFR,1260,"InChI=1/C14H12BrN5/c15-8-2-1-3-9(4-8)20-14-10-5-11(16)12(17)6-13(10)18-7-19-14/h1-7H,16-17H2,(H,18,19,20)/f/h20H",BrC1=CC(NC2=NC=NC=3C2=CC(N)=C(N)C3)=CC=C1,,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,deaef06a5227acbb1e2f4b597581141cd496d43a
AEEPXYZNJPKDOX-MBMZYUKMNA-N,CHEMBL47660,1956,A,5.0,chembl20,67067,9606,EGFR,1260,"InChI=1/C10H8N2O3/c11-5-7(10(12)15)3-6-4-8(13)1-2-9(6)14/h1-4,13-14H,(H2,12,15)/b7-3+/f/h12H2",C(=C/C=1C(=CC=C(C1)O)O)(\C(=O)N)/C#N,,N#C/C(=C\c1cc(O)ccc1O)C(N)=O,2769ddc686685e0660cd316c40edc71a58ccb258
AEFNXPBFFTWXPE-CYSPOYASNA-N,CHEMBL184682,1956,A,6.0,chembl20,305999,9606,EGFR,1260,"InChI=1/C25H24ClN5O3/c1-31(2)17-7-5-6-15(10-17)25(32)30-21-11-16(8-9-19(21)26)29-24-18-12-22(33-3)23(34-4)13-20(18)27-14-28-24/h5-14H,1-4H3,(H,30,32)(H,27,28,29)/f/h29-30H",C1=2C(=NC=NC1=CC(=C(C2)OC)OC)NC=3C=C(NC(C=4C=C(N(C)C)C=CC4)=O)C(=CC3)Cl,,COc1cc2ncnc(Nc3ccc(Cl)c(NC(=O)c4cccc(N(C)C)c4)c3)c2cc1OC,c1b18aec57596e09a2a963e82d5d286b7598ac05
AEPFNBDPODWKEH-ORVKFNBTNA-N,CHEMBL340484,1956,A,8.31,chembl20,63783,9606,EGFR,1260,"InChI=1/C21H26BrN7/c1-28-8-10-29(11-9-28)7-3-6-23-20-13-19-18(14-24-20)21(26-15-25-19)27-17-5-2-4-16(22)12-17/h2,4-5,12-15H,3,6-11H2,1H3,(H,23,24)(H,25,26,27)/f/h23,27H",N1=CN=C(NC=2C=CC=C(Br)C2)C3=CN=C(C=C13)NCCCN4CCN(CC4)C,,CN1CCN(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CC1,99b6eb3e56a29dddc6587ff1d2fdd5efa7025195
AERGSELXAOHCKG-YLHGWYNBNA-N,9808725,1956,A,7.04096,pubchem,270617,9606,EGFR,1260,"InChI=1/C30H27F3N4O4S/c1-42(38,39)14-13-34-17-25-10-12-28(41-25)21-5-11-27-26(16-21)29(36-19-35-27)37-23-6-8-24(9-7-23)40-18-20-3-2-4-22(15-20)30(31,32)33/h2-12,15-16,19,34H,13-14,17-18H2,1H3,(H,35,36,37)/f/h37H",S(=O)(=O)(CCNCC=1OC(C2=CC3=C(N=CN=C3NC4=CC=C(OCC5=CC(=CC=C5)C(F)(F)F)C=C4)C=C2)=CC1)C,,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)o1,50d1d576e2543419b5fc000975a3eec90980b1ea
AEWHWKPGZKWULH-UHFFFAOYNA-N,CHEMBL1929314,1956,N,4.58,chembl20,792378,9606,EGFR,1260,"InChI=1/C17H16N2O3S/c1-20-14-8-13(9-15(10-14)21-2)16-18-19-17(22-16)23-11-12-6-4-3-5-7-12/h3-10H,11H2,1-2H3",C=1(C=C(C=2OC(SCC3=CC=CC=C3)=NN2)C=C(C1)OC)OC,,COc1cc(OC)cc(-c2nnc(SCc3ccccc3)o2)c1,f537f74260d7804678315bd09c23fe1835db4bc9
AEXMZFHTVQCLJX-PQCKPKJFNA-N,CHEMBL1272324,1956,A,8.05,chembl20,676221,9606,EGFR,1260,"InChI=1/C25H31N5O2S/c1-3-29(4-2)13-8-11-22(32)30-14-12-19-21(15-30)33-25-23(19)24(26-17-27-25)28-20(16-31)18-9-6-5-7-10-18/h5-10,13,17,20,31H,3-4,11-12,14-16H2,1-2H3,(H,26,27,28)/t20-/m1/s1/f/h28H",N1=CN=C(C=2C3=C(SC21)CN(C(=O)CC=CN(CC)CC)CC3)N[C@@H](C4=CC=CC=C4)CO,,CCN(C=CCC(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1)CC,76a425914ca55b013d5d616f1ca6ddca24e549b2
AEZICWXXUCODMN-KGCNKATMNA-N,CHEMBL1968850,1956,A,5.7,chembl20,809214,9606,EGFR,1260,"InChI=1/C11H7ClN4O/c12-9-5-6-10(16-15-9)13-7-3-1-2-4-8(7)14-11(6)17/h1-5H,(H,13,16)(H,14,17)/f/h13-14H",ClC1=NN=C2NC=3C(NC(=O)C2=C1)=CC=CC3,,O=C1Nc2ccccc2Nc2nnc(Cl)cc21,8aff9337787194fbf859f6e0310ff96d2a7c4fe0
AEZUIGRHDSRYGK-JCHZMAGXNA-N,CHEMBL324030,1956,A,5.06,chembl20,66876,9606,EGFR,1260,"InChI=1/C15H15N3O3S2/c1-21-12-6-9(4-10(7-16)14(17)20)5-11(13(12)19)8-23-15-18-2-3-22-15/h4-6,19H,2-3,8H2,1H3,(H2,17,20)/b10-4+/f/h17H2",C(=C/C=1C=C(CSC2=NCCS2)C(=C(C1)OC)O)(\C(=O)N)/C#N,,COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O,ea07eb3bb46fca48bf020aaa75b7cb1e5e2981ae
AFIJGEFBZOCXKC-YAQRNVERNA-N,56680356,1956,A,5.66354,pubchem,620239,9606,EGFR,1260,"InChI=1/C12H11BrN4O5S/c1-8-14-6-12(17(19)20)16(8)7-11(18)15-23(21,22)10-4-2-9(13)3-5-10/h2-6H,7H2,1H3,(H,15,18)/f/h15H",BrC1=CC=C(S(=O)(=O)NC(=O)CN2C(=NC=C2N(=O)=O)C)C=C1,,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Br)cc1,2ef4ac3f5fd3b6d1ece14d5c3b475d0ccc2f2b02
AFISYERGFLOUQT-FMIVXFBMNA-N,CHEMBL1173718,1956,A,6.21,chembl20,770252,9606,EGFR,1260,"InChI=1/C21H19N3O4/c1-16-22-15-20(24(26)27)23(16)13-14-28-21(25)12-9-17-7-10-19(11-8-17)18-5-3-2-4-6-18/h2-12,15H,13-14H2,1H3/b12-9+",C=1C(/C=C/C(OCCN2C(=CN=C2C)N(=O)=O)=O)=CC=C(C1)C3=CC=CC=C3,,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,2cba7c64676f054bd87d54d397c13298d126d4c7
AFSDNFLWKVMVRB-UHFFFAOYNA-N,5281855,1956,A,6.16115,pubchem,650681,9606,EGFR,1260,"InChI=1/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H",O1C2=C3C4=C(C=C(O)C(O)=C4OC(=O)C3=CC(O)=C2O)C1=O,,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,2719cd524f774b64850dfe2361bb0a0311aaafc7
AFTIUPVWAZQCKP-FRRCFFQPNA-N,CHEMBL52882,1956,A,8.51,chembl20,66590,9606,EGFR,1260,"InChI=1/C15H16BrN5/c1-17-14-7-13-12(8-18-14)15(21(2)9-19-13)20-11-5-3-4-10(16)6-11/h3-6,8-9,12-13H,7H2,1-2H3/b17-14?,20-15-",C/1(\C2C(CC(N=C2)=NC)N=CN1C)=N/C3=CC(Br)=CC=C3,,CN=C1CC2N=CN(C)/C(=N\c3cccc(Br)c3)C2C=N1,9c38ddfcb6d26e035fb5a51cabb53b4053556b06
AFUSGRPTOLBVBL-DTTMJLAUNA-N,CHEMBL3088219,1956,A,6.37,chembl20,1274575,9606,EGFR,1260,"InChI=1/C19H17BrN6O3/c1-12-22-10-18(26(28)29)25(12)11-17(13-2-6-15(20)7-3-13)23-24-19(27)14-4-8-16(21)9-5-14/h2-10H,11,21H2,1H3,(H,24,27)/b23-17-/f/h24H",C=1C(=CC=C(C1)C(N/N=C(/CN2C(=CN=C2C)N(=O)=O)\C3=CC=C(C=C3)Br)=O)N,,Cc1ncc([N+](=O)[O-])n1C/C(=N/NC(=O)c1ccc(N)cc1)c1ccc(Br)cc1,4350b2e7617e25e8e2800f121170fa3c4b2ecd52
AFVGAHBUCVDPPI-SDRQFZCRNA-N,CHEMBL169757,1956,A,6.3,chembl20,64440,9606,EGFR,1260,"InChI=1/C18H14N4/c19-17-16-15(13-7-3-1-4-8-13)11-22(18(16)21-12-20-17)14-9-5-2-6-10-14/h1-12H,(H2,19,20,21)/f/h19H2",N1=CN=C2N(C=C(C3=CC=CC=C3)C2=C1N)C4=CC=CC=C4,,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,02725af514a3632c0a9b1c223df52076e8a8f63e
