MOL_smiles,pIC50,Gene_Symbol,Original_Entry_ID
NS(=O)(=O)c1cccc(Nc2ncc3ccn(Cc4ccccc4)c3n2)c1,5.9,EGFR,CHEMBL1993424
C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(Oc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,8.82,EGFR,CHEMBL2029440
COc1cc(C=NNc2ncnc3c2cnn3-c2ccccc2)ccc1O,6.59,EGFR,CHEMBL1789961
CC(C)(C)C(=O)Nc1nc(Nc2ccc(Cl)cc2)c2c(n1)[nH]c1cccc(Cl)c12,4.23,EGFR,CHEMBL2337369
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.54,EGFR,CHEMBL417420
N#C/C(=C\c1ccc(O)c(O)c1)C(=N)C(C#N)C#N,5.6,EGFR,CHEMBL309334
CC(C)Cn1c(N)nc2c(F)cc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,7.2,EGFR,CHEMBL2004419
COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O,5.47,EGFR,CHEMBL119156
O=C(/C=C/CN1CCC2(CC1)OCCO2)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,8.7,EGFR,CHEMBL3233795
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,8.94,EGFR,CHEMBL2032376
CCOc1ccccc1-c1nnc(SCc2ccccc2)o1,4.42,EGFR,CHEMBL1929306
CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.23,EGFR,CHEMBL1242472
C=CC(=O)Nc1cccc(N2C(=O)N(C3CC3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.24,EGFR,CHEMBL2029435
COCCN(CCOC)S(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccc(F)c(Cl)c4)c3s2)cc1,7.6,EGFR,CHEMBL470010
C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Oc3ccccc3)cc2)c(O)c1,5.59,EGFR,CHEMBL200142
O=P(O)(O)C(O)c1ccc2ccccc2c1,3.7,EGFR,CHEMBL26001
Cc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,8.45,EGFR,CHEMBL271408
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CC(=O)O)cc3)nc21,6.66,EGFR,CHEMBL50647
COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC,4.21,EGFR,CHEMBL109625
COc1ccccc1-c1nnc(SCc2ccccc2)o1,4.91,EGFR,CHEMBL1929307
O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Br)c1O,5.97,EGFR,CHEMBL590714
CN(C)CCCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,7.62,EGFR,CHEMBL3092313
C=C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.96,EGFR,CHEMBL454370
C=C1C=C(C2CCN(CCCF)CC2)Cc2nc(-c3c(NCCn4cc(Cl)cn4)ccnc3O)[nH]c21,4.68,EGFR,CHEMBL459729
N#CC(C#N)=C(C#N)c1ccc(C=O)cc1,3.22,EGFR,CHEMBL489349
CN1CCN(Cc2ccc(Nc3nc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4s3)cc2)CC1,8.05,EGFR,CHEMBL503418
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)N3CCCC3)c2)c(O)c1,7.6,EGFR,CHEMBL199440
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccc(O)cc1,5.52,EGFR,CHEMBL143805
COc1cc(Nc2c(C#N)cnc3cc(-c4coc(CN5CCN(C)CC5)c4)c(OC)cc23)c(Cl)cc1Cl,6.64,EGFR,CHEMBL219557
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)OCCOc5no[n+](O)c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1,7.23,EGFR,CHEMBL2381506
OCC(CO)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,7.85,EGFR,CHEMBL125568
Nc1[nH]nc2ccc(-c3nnn(Cc4ccccc4)c3I)cc12,5.7,EGFR,CHEMBL1975128
Oc1ccc(NCc2cc(O)ccc2O)cc1,4.38,EGFR,CHEMBL123046
CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2C,5.7,EGFR,CHEMBL519697
COc1cc2c(cc1OC)Sc1nc(C)nc(Nc3ccc4c[nH]nc4c3)c1NC2,4.61,EGFR,CHEMBL213371
CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c-4n[nH]c1C,7.6,EGFR,CHEMBL223147
O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.55,EGFR,CHEMBL128468
COc1nc(Nc2ccc(-c3nc4ccccc4s3)c(OC)c2)c2cc[nH]c2n1,5.29,EGFR,CHEMBL475351
Oc1ccc(CN(Cc2cc(Cl)cc(Cl)c2O)C(=S)Nc2ccccc2)cc1,6.25,EGFR,CHEMBL591288
Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@H]6CCCNC6)c45)ccc32)c1,6.72,EGFR,CHEMBL246073
CCO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,8.3,EGFR,CHEMBL402294
Cc1cccc(N(C)c2ncnc3cc(C)c(C)cc23)c1,5.19,EGFR,CHEMBL554566
COc1ccc(C2CC(c3ccc(Br)cc3)=NN2c2nc(-c3ccc(Cl)cc3)cs2)cc1,4.7,EGFR,CHEMBL1821887
Cc1cccc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,5.7,EGFR,CHEMBL1964307
Clc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.4,EGFR,CHEMBL296377
Cc1[nH]c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)c(C)c1CCC(=O)O,4.66,EGFR,CHEMBL149201
CN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.77,EGFR,CHEMBL166255
NC(COc1cc(C=Cc2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12,5.7,EGFR,CHEMBL1968245
Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1,5.7,EGFR,CHEMBL412142
Cc1cccc(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1O,5.07,EGFR,CHEMBL589801
O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1ccc(Cl)cc1,5.7,EGFR,CHEMBL1998829
COc1cc(C2=C(c3c[nH]c4ccc(Br)cc34)C(=O)NC2=O)cc(OC)c1OC,5.24,EGFR,CHEMBL605957
O=C(c1cccc(-c2cnc3[nH]ccc3c2)c1)N1CCOCC1,5.7,EGFR,CHEMBL1997872
COc1cc2ncnc(NCc3ccccc3)c2cc1O,7.25,EGFR,CHEMBL115745
Cc1ccc(C(=O)NS(=O)(=O)c2ccc(Br)cc2)c(Cl)n1,5.58,EGFR,CHEMBL1945648
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,4.6,EGFR,CHEMBL261720
COc1ccc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc1,5.6,EGFR,CHEMBL202504
C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,5.89,EGFR,CHEMBL2426279
CN(C)CCNC(=O)c1c(SSc2c(C(=O)NCCN(C)C)c3ccccc3n2C)n(C)c2ccccc12,4.76,EGFR,CHEMBL348554
CN(C)CCC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,8.1,EGFR,CHEMBL2347963
COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.1,EGFR,CHEMBL123189
COc1cc(C=NNc2ncnc3c2cnn3Cc2ccccc2)ccc1O,7.26,EGFR,CHEMBL1789962
CN(C)c1ccc(Nc2ncnc3cc(-c4ccccc4)sc23)cc1,7.03,EGFR,CHEMBL306732
Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1-c1nnc(CCN2CCOCC2)o1,7.52,EGFR,CHEMBL472545
Nc1nc(Nc2cccc(C(F)(F)F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,4.57,EGFR,CHEMBL1095445
O=c1ccc2ccc(O)c(O)c2o1,5.12,EGFR,CHEMBL244948
CN(C)Cc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)[nH]1,8.4,EGFR,CHEMBL473437
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,8.84,EGFR,CHEMBL2031306
Nc1nc(Nc2ccc(Cl)cc2)c2cc(CCc3ccccc3)[nH]c2n1,5.5,EGFR,CHEMBL519147
O=C(/C=C/c1ccccc1)Nc1cc(Cl)cc(Cl)c1,4.86,EGFR,CHEMBL2283256
C=S(O)(O)=CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cs1,8.05,EGFR,CHEMBL1356199
Cc1ccc(Nc2ncnn3ccc(C)c23)cc1O,6.47,EGFR,CHEMBL188522
Nc1ncnc2c1c(-c1ccccc1)cn2C(CO)Cc1ccc(O)cc1,4.88,EGFR,CHEMBL170438
O=C(Cc1c(SSc2[nH]c3ccccc3c2CC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,4.42,EGFR,CHEMBL435831
Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=S)Nc2ccccc2)c1,5.23,EGFR,CHEMBL592247
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.96,EGFR,CHEMBL296168
Cc1ccc2[nH]c(=O)c(=NNc3ccccc3)cnc2c1,6.45,EGFR,CHEMBL1353226
CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,6.02,EGFR,CHEMBL1241490
COc1cc2ncnc(Nc3ccccc3-c3ccccc3)c2cc1OC,4.84,EGFR,CHEMBL2333990
CC(=O)Oc1cccc2c1c(C(=O)Nc1ccccc1)c(SSc1c(C(=O)Nc3ccccc3)c3c(OC(C)=O)cccc3n1C)n2C,4.7,EGFR,CHEMBL59812
COc1cc(OC)cc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(C)=O)c1,4.59,EGFR,CHEMBL1172602
CCOc1cc2ncnc(Nc3cccc(-c4nccs4)c3)c2cc1OCC,8.7,EGFR,CHEMBL126192
O=[N+]([O-])c1ccc(C2CC(c3ccc(Br)cc3)=NN2c2nc(-c3ccc(Cl)cc3)cs2)cc1,4.61,EGFR,CHEMBL1821889
CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,8.59,EGFR,CHEMBL2048912
O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)c1cccc2c1OCCO2,5.79,EGFR,CHEMBL2070190
N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3,5.17,EGFR,CHEMBL110062
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,7.0,EGFR,CHEMBL2448064
O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(F)cc1,5.29,EGFR,CHEMBL1828867
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.72,EGFR,CHEMBL343352
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCC(C)CC1,8.18,EGFR,CHEMBL448172
Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,5.7,EGFR,CHEMBL1082440
O=C(O)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,6.66,EGFR,CHEMBL234772
C=C(CN(C)C)C(=O)c1ccccc1,5.25,EGFR,CHEMBL468975
CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc21,7.2,EGFR,CHEMBL2003657
COC(CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1)OC,8.7,EGFR,CHEMBL3233779
NC(=O)c1cc2c(-c3ccc(Br)c(F)c3F)cncc2s1,5.7,EGFR,CHEMBL1999918
N#CC(C#N)=Cc1ccc2c(c1)OCO2,3.93,EGFR,CHEMBL78005
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,9.38,EGFR,CHEMBL31815
Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(F)cc1,6.41,EGFR,CHEMBL1828862
Nc1nc(Nc2ccc(Cl)cc2F)c2c(n1)[nH]c1cccc(Cl)c12,4.41,EGFR,CHEMBL2337364
C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.8,EGFR,CHEMBL343722
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)N=C5CC=C(F)CC5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,7.07,EGFR,CHEMBL1908393
COc1ccc(C2=NN(C(N)=S)C(c3cccc4ccccc34)C2)cc1,6.8,EGFR,CHEMBL2325106
Cn1cncc1C(OCc1c(-c2ccc(OC(F)(F)F)cc2)cc(C#N)c(=O)n1C)c1ccc(C#N)cc1,5.7,EGFR,CHEMBL127898
CN1CCN(C(=O)Cn2c(-c3ccc(Cl)cc3)csc2=N)CC1,4.81,EGFR,CHEMBL2437298
CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1,4.68,EGFR,CHEMBL1242661
Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,4.73,EGFR,CHEMBL2440659
CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,5.75,EGFR,CHEMBL125331
COc1ccc(C(=O)C(C#N)C#N)cc1,3.35,EGFR,CHEMBL311564
Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cc(CO)ccc4F)cc3)c12,5.7,EGFR,CHEMBL1985311
N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)c3ccoc3)ccc12,4.34,EGFR,CHEMBL1641997
CCCCOc1cc2c(Nc3ccc(NC(=O)OCC)c(Cl)c3)ncnc2cc1OCCN(CC)CC,5.04,EGFR,CHEMBL2018777
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)CN,8.22,EGFR,CHEMBL56502
O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O,5.1,EGFR,CHEMBL128000
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,7.05,EGFR,CHEMBL376967
COC(=O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,6.34,EGFR,CHEMBL246491
NC(=O)Nc1ccc2ncnc(Nc3cccc(O)c3)c2c1,5.6,EGFR,CHEMBL2347232
Cn1ccnc1S(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,7.77,EGFR,CHEMBL265367
COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3F)c2cc1OC,4.86,EGFR,CHEMBL111664
COc1ccc(C2CC(c3ccccc3)=NN2c2nc(O)cs2)cc1,5.37,EGFR,CHEMBL1958024
N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,5.7,EGFR,CHEMBL248757
Fc1ccccc1-c1nnc(SCc2ccccc2)o1,5.29,EGFR,CHEMBL1929303
CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc(C(=O)O)cc2)cc1,4.45,EGFR,CHEMBL1944923
O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(Cl)cc1,5.23,EGFR,CHEMBL1828868
Cc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,5.01,EGFR,CHEMBL1173262
O=C(Nc1ccccc1)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,4.02,EGFR,CHEMBL19978
Oc1csc(N2N=C(c3ccc(Br)cc3)CC2c2ccc(Cl)cc2)n1,5.39,EGFR,CHEMBL1958039
COc1cc2c(cc1OC)Sc1ncnc(Sc3cccc(Br)c3)c1NC2,5.8,EGFR,CHEMBL386456
Brc1cccc(Nc2nc[nH]c3cc4nccc4cc23)c1,9.41,EGFR,CHEMBL40734
CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.62,EGFR,CHEMBL140561
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,3.3,EGFR,CHEMBL306988
O=C(NCCCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1,4.48,EGFR,CHEMBL422643
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,9.43,EGFR,CHEMBL39320
CC(C)(C)c1n[nH]c2c1C(c1ccccc1F)C(C#N)C(=N)O2,5.7,EGFR,CHEMBL2004447
Fc1ccc(Nc2ncnn3cccc23)cc1Cl,6.96,EGFR,CHEMBL185637
COc1cc2c(cc1OC)Sc1ncnc(Oc3cccc(Br)c3)c1NC2,4.66,EGFR,CHEMBL215520
COc1cc2c(cc1OC)Sc1nc(C)nc(Nc3ccc4ccccc4c3)c1NC2,4.77,EGFR,CHEMBL214863
CC(C)(C)C(=O)Nc1nc(Nc2ccccc2)c2c(n1)[nH]c1cccc(Cl)c12,3.94,EGFR,CHEMBL2337367
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(CC(C)O)CC(C)O,7.01,EGFR,CHEMBL369088
COc1cc(O)c2c(c1)CCN(c1cccc(C(=O)N3CCCCC3)c1)C2=O,5.93,EGFR,CHEMBL2442333
Nc1ncnc2c1ncn2CC(=O)c1ccccc1,4.12,EGFR,CHEMBL520515
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(S(C)(=O)=O)CC1,8.7,EGFR,CHEMBL387265
COCCN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.21,EGFR,CHEMBL442754
Oc1c2c(-c3ccccc3)c3c(nc2nc2nnc(S)n12)-c1ccccc1CC3,4.07,EGFR,CHEMBL1944930
N#CC(C#N)=Cc1cccc(O)c1,3.91,EGFR,CHEMBL310400
CN1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,7.85,EGFR,CHEMBL272935
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccccc1,6.19,EGFR,CHEMBL1934621
Clc1cccc(Nc2[nH]cnc3nnc(NCc4ccccc4)c2-3)c1,8.52,EGFR,CHEMBL121796
Nc1nn2c(O)cc(-c3ccccc3)nc2c1/N=N/c1ccc2c(c1)OCO2,5.28,EGFR,CHEMBL2029700
CN(C)C=CCC(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,7.15,EGFR,CHEMBL1272276
Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CNC6CCNCC6)c45)ccc32)c1,6.96,EGFR,CHEMBL392664
CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,6.1,EGFR,CHEMBL588119
C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccc(OC)cc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.47,EGFR,CHEMBL3219134
